"x","y","z"
327572,4765486,-5466
328216,4765470,-4870
325835,4766420,-4862
321250,4775017,-2100
332530,4765174,-3059
326421,4769614,-1813
322404,4766816,-5469
325752,4767419,-5453
331115,4759864,-1276
330473,4767684,-913
325913,4769130,-2164
330160,4767558,6
326851,4767235,-4503
330412,4764385,-1916
328313,4769370,-405
328606,4764639,-4205
326654,4766269,-1367
328107,4768861,-529
322107,4774300,-5772
325247,4763758,326
329375,4767457,-2064
326792,4766181,-1199
321349,4769722,-6842
322385,4770362,-2105
329273,4767299,-1901
328399,4768542,-1714
324414,4767330,-4529
322225,4768325,-5618
329342,4769466,-1528
328844,4768318,-1734
328812,4767855,205
326056,4767834,-3538
322471,4769362,-5328
322351,4770581,-7395
321583,4769066,-8085
323446,4774048,-3216
323372,4774215,-4039
321734,4767081,-5795
322567,4769760,-5259
326398,4767913,-3768
330700,4759387,-1900
330235,4757409,-1930
330168,4757523,-1935
321748,4775132,-4574
322669,4768114,-4836
331370,4757360,-955
322046,4772089,-3697
329112,4768104,-1235
322920,4773184,-5059
322904,4776592,-2113
330689,4767732,-1116
322085,4775186,-7769
327320,4770757,-931
330159,4768574,-237
327512,4770691,-686
324761,4772459,-2781
332112,4766431,-610
328571,4768446,-1809
330610,4757683,-1947
331807,4757453,-3713
322255,4777833,-4196
330371,4758306,-2125
330245,4758178,-1923
321623,4769643,-6756
321693,4769877,-7473
327094,4768445,-1690
324110,4765656,-4880
323629,4765892,-4792
321313,4777751,-8841
326131,4768226,-2499
324267,4766791,-4688
326080,4768535,-2900
327261,4768876,-1897
327189,4768313,-1603
326147,4769777,-1814
330639,4765895,-1560
328481,4769630,-1452
329645,4768506,-960
330634,4758685,-2106
330522,4758752,-2152
329371,4761733,-3430
332474,4764522,-1407
326536,4765463,-1712
327319,4767968,-1764
320809,4776265,-5653
326155,4767340,-3932
322776,4767932,-5326
321629,4776850,-6008
324181,4767513,-4173
323779,4778086,-992
325748,4769099,-2174
327248,4767629,-1980
327416,4768610,-1924
324117,4776680,-1837
329745,4764005,-2462
331549,4763300,109
331130,4762210,-201
331754,4757475,-412
334134,4761707,-4581
325918,4769104,-2540
321627,4774165,-3483
322201,4770003,-3580
322116,4770541,-6584
321571,4767052,-6593
324231,4762286,-821
329410,4767502,-2520
324078,4776630,-1749
324352,4761888,-142
324027,4762237,-615
326548,4769442,-2090
329971,4756128,-4575
321366,4772159,-3563
326893,4767682,-2431
322312,4766311,-6376
324041,4767426,-4546
325534,4765077,-5937
319375,4768434,-6625
323924,4765870,-5098
329471,4768212,-1810
325080,4774592,-1967
328534,4760880,-1720
321765,4773005,-3275
328198,4767592,-2712
330673,4764438,-2125
325835,4760962,378
320932,4767667,-8423
327069,4771281,-1002
326942,4771100,-1176
327669,4767628,-3857
326015,4760453,-44
321105,4770231,-6077
325098,4769717,-2922
328285,4769056,-853
325057,4774579,-2581
330421,4759234,-2386
327269,4768460,-2208
322309,4768811,-6534
323639,4772791,-3636
319837,4774022,-3384
323719,4776965,-1834
320799,4772452,-3167
321129,4771924,-2117
323656,4772679,-3407
321363,4772565,-3437
320959,4776305,-4259
327900,4767963,-3444
319695,4774577,-3560
321672,4772832,-7475
330577,4758198,-1909
329274,4767067,-2661
324293,4766278,-4801
322182,4771637,-2763
322572,4763904,-6263
322211,4771482,-2591
328511,4769072,-752
326549,4765791,-5868
321092,4776001,-4176
322458,4766570,-5317
